medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
26FC1764E8F96A8233F8C77F21D4161A,D8512BDC6E6DBF909DCC78174F02DA41,CMT,1,N,06-01-13 00:46,06-01-13 01:02,1,-73.991173,40.74313,-74.013763,40.702297
4A4DA06C65CFA356CD538AF4B899430E,7CE1605151178F02B4EBBD8472C86A13,CMT,1,N,02-01-13 08:12,02-01-13 08:24,1,-73.99115,40.750023,-73.952614,40.74115
764CA5AE502C0FEC9BB69DBCB6BB4ECC,26516CD746248B3495CBD99A8ABAF8B4,CMT,1,N,05-01-13 19:45,05-01-13 19:57,2,-73.989342,40.763168,-73.991577,40.750309
E8950C1BF2CE598E95DE0CA5C89FA4BA,E4D2F480F3C91138B7BA9F1BDE710434,CMT,1,N,05-01-13 21:23,05-01-13 21:25,1,-73.959496,40.779442,-73.960724,40.775745
99115D1EA0AE33939899D652DCC34089,A91627126C0D01A3752C7687EFEF9478,CMT,2,N,05-01-13 01:12,05-01-13 01:26,1,-73.904716,40.726418,-73.984154,40.760082
9BB803DFE81D89F77C37D4C05BB1ABA1,797E4DBEC1C53DBC3196540342C64D4B,CMT,1,N,06-01-13 10:56,06-01-13 11:06,2,-73.95871,40.768471,-73.973656,40.763348
8F9B593AE29F10B40EBEA0BBDEDD249F,61AF8331CB51E436B747478FC0E78B67,CMT,1,N,07-01-13 17:38,07-01-13 17:57,1,-73.873154,40.773998,-73.92878,40.859314
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,1,N,07-01-13 14:38,07-01-13 14:46,1,-73.990623,40.756813,-73.982101,40.758984
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,1,N,07-01-13 10:35,07-01-13 10:42,1,-73.965843,40.758705,-73.978134,40.752731
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,1,N,07-01-13 14:46,07-01-13 14:55,1,-73.981796,40.758862,-73.967239,40.7617
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,1,N,08-01-13 15:17,08-01-13 15:25,1,-73.977318,40.764542,-73.981895,40.779526
2C0E91FF20A856C891483ED63589F982,1DA2F6543A62B8ED934771661A9D2FA0,CMT,1,N,07-01-13 18:24,07-01-13 18:36,1,-73.986534,40.7342,-73.987869,40.75914
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,1,N,10-01-13 12:20,10-01-13 12:28,1,-73.96666,40.773125,-73.971802,40.765766
FAE1370A694D0621FAE1E62FAFD64080,265B3D7D30A9B7AE389A2626F6825266,CMT,1,N,07-01-13 10:15,07-01-13 10:20,1,-73.958649,40.768791,-73.970909,40.76149
32D306FD3A4D7CEDCFD8D644294DD5B7,05EACD5B806FC3D01A377606D37CF327,CMT,1,Y,08-01-13 13:56,08-01-13 14:08,2,-73.975922,40.744606,-73.998146,40.729076
D8AADA4E722C87C10E609654612630DD,8F1E4F779A4D67431C3FCFA4E70A87DC,CMT,1,N,10-01-13 17:19,10-01-13 17:51,1,-73.963608,40.774113,-73.944038,40.717518
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,1,N,10-01-13 13:16,10-01-13 13:26,1,-73.958481,40.761166,-73.986542,40.749397
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,1,N,08-01-13 00:02,08-01-13 00:05,1,-73.985573,40.747375,-73.983879,40.739223
5E162F2D7F569949769648C56A23C525,6F7932F2B112DAABF1F2A385FE2AB819,CMT,1,N,07-01-13 17:54,07-01-13 18:00,1,-73.985184,40.773998,-73.964737,40.801834
82420BD631D2BB88E2F213A8CA15BECE,213779F7AA40E58009B3457E3FA7089D,CMT,1,N,08-01-13 10:38,08-01-13 10:56,1,-73.967682,40.751221,-73.995232,40.717422
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,1,N,07-01-13 20:13,07-01-13 20:25,1,-74.007469,40.708904,-73.981888,40.67767
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,1,N,08-01-13 01:15,08-01-13 01:23,1,-73.9925,40.758308,-73.96714,40.76078
8FCED8833E91F75673B4B4B4A7D720AB,C8DB0DEAF651336169544E466AFF2DA1,CMT,1,N,07-01-13 18:12,07-01-13 18:19,1,-73.982315,40.774441,-73.965904,40.801422
47CFD616C057758044C57D1B4BEFE759,A6DCBA545B1E1A2DC24BFEE1C0A54029,CMT,1,N,07-01-13 18:45,07-01-13 19:00,1,-73.977676,40.746544,-73.999458,40.738972
4728FA63A46613319446ED726626FED3,4A6C8D08FAB98E9C9B21399C5255EED0,CMT,1,N,08-01-13 11:33,08-01-13 11:48,1,-73.987732,40.751884,-73.98172,40.746529
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,1,N,07-01-13 20:46,07-01-13 21:06,1,-73.864861,40.770428,-74.006653,40.707874
0CC08DE5645A7137059499EA11886805,4F2627F9FD34A9B9EFCCFC5147048345,CMT,1,N,07-01-13 18:45,07-01-13 18:52,3,-73.979706,40.758427,-73.985558,40.747265
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,1,N,10-01-13 15:17,10-01-13 15:28,1,-73.988495,40.737442,-73.988106,40.7491
1159BD618BE1D4A90D522416A77AC29A,9964A99249A4888E2C6AE55BA78A6F64,CMT,1,N,10-01-13 15:04,10-01-13 15:07,1,-73.980118,40.754601,-73.988045,40.748962
FA3DD236E7627E99646337C5218EA281,37A4843DC4AA9F62DBF4CA42F359E0D3,CMT,1,N,08-01-13 13:16,08-01-13 13:32,1,-74.004578,40.707554,-73.99247,40.734222
FA3DD236E7627E99646337C5218EA281,37A4843DC4AA9F62DBF4CA42F359E0D3,CMT,1,N,08-01-13 15:33,08-01-13 15:48,1,-73.945915,40.786156,-73.971581,40.794956
38CA8BCB4180F32BEDE6FE085F4E445E,CE7A3E2632A838C9C02334D65E4355AF,CMT,1,N,07-01-13 22:35,07-01-13 22:59,1,-73.790016,40.644058,-73.956703,40.747852
C28DA92FB1D60B9EBFB7EFA6AE6C4577,979AF867DF1D4CF290467D47E5BD20CA,CMT,1,N,07-01-13 18:48,07-01-13 18:56,1,-73.998337,40.746025,-73.981255,40.747223
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,1,N,07-01-13 22:19,07-01-13 22:39,1,0,0,0,0
B14118AD4BF381D80035EF546CE7AEFA,9DCEE90343F24D475B3A19A3F10AE801,CMT,1,N,10-01-13 10:31,10-01-13 10:46,2,-73.982079,40.763794,-74.003113,40.731106
50296A056AF5D221536DC98ABB1E3274,4F3E6D0E69CABD8954F8A126D54C5C20,CMT,4,N,08-01-13 02:22,08-01-13 02:24,1,-73.99469,40.750191,-73.990089,40.757217
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,1,N,07-01-13 13:21,07-01-13 13:34,2,-73.947601,40.77533,-73.978798,40.777584
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,1,N,07-01-13 21:58,07-01-13 22:08,3,-73.987099,40.755215,-73.974457,40.755589
5C1E310A26EEE17AA72AFE63194DE5B5,A56B275487B0D09E6BA4C8801E0B2BE3,CMT,1,N,01-01-13 17:11,01-01-13 17:17,3,-73.98793,40.749542,-73.978981,40.766735
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,1,N,08-01-13 10:44,08-01-13 10:46,1,-73.989296,40.756313,-73.987885,40.751122
